Date,Company,Category,Aircraft,Location,Description
4/17/2015,The Aerial Filming Company,Photo/Film,DJI S-1000,New Jersey,Aerial photography for scripted closed set filming.
6/12/2015,The Agent Drone LLC,"Construction, Real Estate",DJI Phantom 2 Vision+,Washington,"Aerial video and photography of construction sites, real estate, and landscape."
4/17/2015,"The Barefoot Group, Inc.",Photo/Film,DJI Phantom 2 Vision+,Florida,"Photo and video in the Marine and watercraft industry, real estate industry, surveying industry, construction industry, both profit and non-profit events, agricultural industry."
4/3/2015,The City of Roswell Coalition,Education,Aeryon SkyRanger,New Mexico,"Research, development and validation of a formal UAS training curriculum."
5/1/2015,The Dobbins Company,Real Estate,DJI Phantom 2,Georgia,"Commercial operations for real estate inspections including; residential, commercial and rural properties."
4/17/2015,The Dobbins Company,Real Estate,"DJI Phantom 2, DJI Phantom 2 Vision",Georgia,"Real estate inspections. This would include residential, commercial and rural properties. Prospective customers and clients would include real estate agents & brokers, management companies, insurance companies & vendors, banks and private property owners."
4/3/2015,The Dow Chemical Company,Utilities/Energy/Infrastructure,Aeryon SkyRanger,Michigan,"Aerial inspection and environmental monitoring of chemical plant production, transmission and storage facilities."
6/16/2015,The Lyle Company,Utilities/Energy/Infrastructure,DJI Inspire 1,California,Aerial photo and video of unmanned wireless facilities.
6/5/2015,The Scene Lab LLC,Real Estate,DJI Phantom Vision 2+.,Connecticut,Still and motion photography of real estate holdings.
5/5/2015,"The Travelers Companies, Inc","Education, Construction"," 3DRobotics IRIS+, DJI Phantom 2",Connecticut,"Roof inspections, underwriting, risk assessment, risk control, accident reconstruction, and sUAS pilot training and development."
5/5/2015,"The Travelers Companies, Inc",Emergency Services,"3DR IRIS+, DJI Phantom 2",Connecticut,Operations in support of its catastrophe response strategy.
6/2/2015,"The Visual Arts Group, LLC",Emergency Services,"DJI Inspire 1, DJI S1000",Georgia,Research on UAS safety protocols and to develop an enhanced platform for first responder use.
5/13/2015,Thomas F. Landecker,Photo/Film,DJI Phantom 2 Vision+,California,Aerial photography and videography.
6/26/2015,Thomas Goodall,"Photo/Film, Real Estate",DJI Inspire 1,California,"Aerial cinematography and photography of golf courses, special events, and real estate"
6/16/2015,Thomas Hall,"Construction, Real Estate","DJI Phantom 2 Vision+, DJI Inspire 1",Montana,"Aerial videography and photography of construction sites, real estate, and landscape."
6/16/2015,Thomas N. Black,Real Estate,"DJI Phantom 2 Vision+, DJI Inspire 1",Georgia,Aerial videography and photography for real estate and property development.
4/21/2015,Thomas Ryan Drake,"Photo/Film, Real Estate",DJI Phantom 2 Vision+,California,"Video filming and photography by air for public and private use and to inspect land for residential, commercial, and industrial structures and property."
6/23/2015,Thomas Simonsen,Education,DJI Phantom 2 Vision+,Minnesota,Aerial videography and cinematography to enhance academic community awareness for those individuals and companies unfamiliar with the geographical layout of the Minneapolis/St Paul and surrounding areas and to do real estate listing videos
5/11/2015,"Thomas' Wildlife Solutions, Inc.",Photo/Film,3D Robotics IRIS+,Rhode Island,"Aerial videography/cinematography for marketing, exterior structure inspections, and volunteer search and rescue missions."
5/21/2015,Tim Trott dba Southern Helicam,Real Estate,DJI Phantom 2 and DJI Phantom 2 Vision.,Florida,Aerial photography and videography for real estate
5/11/2015,"Titan Aerial, LLC",Photo/Film,DJI Phantom 2,Texas,Aerial photography and videography.
5/22/2015,Todd Thomas,Photo/Film,DJI Phantom 2 Vision+,North Carolina,"Aerial photography, videography, and surveying."
4/8/2015,"Toledo Aerial Media, LLLC","Photo/Film, Agriculture, Real Estate, Construction, Conservation","DJI Phantom 2 Vision+, DJI Inspire 1",Ohio,"Aerial surveying, remote sensing, photography, agricultural, construction, and wildlife monitoring."
5/22/2015,TOMVON Photography,Photo/Film,"DJI Phantom 2 Vision+, DJI Inspire 1",Ohio,Aerial photography and videography.
6/23/2015,Tony O. Martin,"Photo/Film, Real Estate",Blade 350 QX2,West Virginia,"Aerial photography and videography for individuals, business owners, homeowners, realtors, home builders, contractors and/or home inspectors for use in, promotional aerial photography and videography, real estate marketing and safer inspections of home exteriors"
4/17/2015,"Topcon Positioning Systems, Inc.",Manufacturer,"Sirius Basic, Sirius Pro",California,"Aerial surveying, product demonstration flights for potential customers, UAS product training for customers, and research and development."
1/29/2015,Total Safety U.S.,Utilities/Energy/Infrastructure,DJI S1000,Texas,Flare stack inspection.
6/23/2015,"TR-IAG, LLC","Photo/Film, Utilities/Energy/Infrastructure",DJI Inspire 1,Arizona,"Aerial photography, survey, powerline and pipeline patrol."
4/8/2015,"TradeCraft, LLC",Agriculture,DJI Inspire 1,Alabama,"Agriculture, aerial surveying, imagery operations."
5/21/2015,Travis Lee Berry,"Photo/Film, Real Estate, Construction","DJI Phantom 2 Vision+, DJI Inspire 1",Texas,"Aerial video and photography of construction sites, real estate, and landscape."
5/22/2015,Trentex,Photo/Film,DJI Phantom 2 Vision+,Tennessee,Aerial photography and videography.
6/2/2015,Trihydro Corporation,"Utilities/Energy/Infrastructure, Government Contracting, Agriculture, Scientific Studies, Conservation",Altavian Nova R8400,Wyoming,"Aerial acquisition and research in support of government entities, agriculture industry, utility companies, local infrastructure, scientific studies, wildlife monitoring, mining, surveying, forestry, and much more."
12/10/2014,"Trimble Navigation, Ltd","Manufacturer, Agriculture","Trimble Navigation Limited UX5 UAS, Trimble UX5 hp",California,"Precision aerial surveying, agriculture (Amended on 5/7/15)"
5/21/2015,"Trinity Aeroimaging, LLC","Real Estate, Utilities/Energy/Infrastructure, Construction","DJI Phantom, DJI Vision 2+",New Mexico,"Videography of real estate, area service providers, business enterprises, including construction and utilities."
5/5/2015,Troy Built Models,Education,DJI Phantom 2 Vision+,Florida,Training and education.
4/29/2015,"Trumbull Unmanned, LLC",Utilities/Energy/Infrastructure,"Lockheed Martin Indago, 3DRobotics Aero-M, 3DRobotics X8, 3DRobtics Flying Squirrel-Specktre, Unmanned Flying Rolling Orb , Sense Fly eBee, SteadiDrone, DJI S1000, and Skywalker Flying Wing X8.",Texas,"Aerial inspections, mapping, monitoring, and security of infrastructure and operations in the energy industry. Development and use of sUAS in the aerial inspection and monitoring of facilities, freestanding structures, and infrastructure."
6/26/2015,"Tukuh Technologies, LLC","Utilities/Energy/Infrastructure, Agriculture, Construction",SenseFly eBee,Missouri,"Aerial imaging for the agriculture, energy production and transmission, engineering, manufacturing and construction industries for mapping, surveying and inspections operations.."
6/25/2015,Turin Aviation Group,"Utilities/Energy/Infrastructure, Agriculture, Construction, Education",C-Astral Bramor gEO,Florida,"Commercial and public service operations in the following sectors: power and pipeline patrol, precision agriculture, mining survey, railroad survey, education, research and development"
5/5/2015,Turner Industries‰öÕIntegrated Solutions Group Houston Office,"Construction, Utilities/Energy/Infrastructure",DJI Phantom 2 Vision+,Texas,"Aerial photography, surveys, and assessments of industrial facilities, and construction sites."
5/14/2015,"UAS Professionals, Inc.",Photo/Film,DJI Innovations S800,Colorado,Geographic information system and professional survey services.
5/13/2015,UAV Field Services Inc,"Utilities/Energy/Infrastructure, Insurance",DJI Phantom 2 Vision+,Maryland,"Aerial photography and videography for the insurance, utility, and telecommunications industries."
4/22/2015,UAV-IQ LLC,Agriculture,SenseFly eBee,California,Precision photogrammetry and crop scouting at the resolutions necessary for precision agriculture.
6/25/2015,UAVRG LLC,Photo/Film,"DJI Phantom 2 Vision +, DJI Phantom 3, DJI Inspire 1",Texas,"Aerial photography, videography, and mapping."
6/2/2015,Ultimate Outdoors TV LLC,Photo/Film,"Blade 350 QX3, DJI Inspire 1.",Indiana,Aerial video and photography.
5/19/2015,Uneek Perspective,"Photo/Film, Utilities/Energy/Infrastructure, Emergency Services",Yuneec Electric Aviation Model Q500 Typhoon,Illinois,"Aerial photography and/or video for public and/or private use including real estate, architecture, land surveying, engineering and other related professional activities. Aerial video and/or photography for public and/or private use including television, public events, cinematography and news gathering. Aerial inspection/photography of residential/commercial structures under contract with the owners or local government authority. Aerial inspection/photography of residential/commercial utility infrastructure including but not limited to electrical power lines, wind turbines and cell towers. Aerial video/photography or providing live video feed to assist with search and rescue operations in cases of an emergency or natural disaster only when the local authorities or government has requested it by contract or donation. The ability to offer training to persons individually or belonging to both private and/or public organizations that have interests in the use and application of a UAS for the purpose of the safe operation of a UAS to enhance the safety of the National Airspace System (NAS) as well as for the protection of the persons and property."
4/17/2015,Union Pacific Railroad,Utilities/Energy/Infrastructure,AirCover QR-425s,Nebraska,"Assessments when Union Pacific railroad engines, cars, tracks or other property are, or may be, involved in an incident, as well as for training, proficiency, and experience-building flights to ensure that the UAS crew is qualified and current for the Incident Assessment Flights."
5/5/2015,United Dynamics AT Technologies Corp.,Utilities/Energy/Infrastructure,DJI S800 Hex-rotor,Kentucky,Aerial videography/cinematography to enhance safety and reliability of power generation utilities.
4/8/2015,United Services Automobile Association,Insurance,PrecisionHawk Lancaster,Texas,Disaster and catastrophe events to assist members and communities.
4/3/2015,United Services Automobile Association,Insurance,PrecisionHawk Lancaster HawkEye,Texas,Research and development.
4/16/2015,"Unmanned Aerial Assessment & Video, LLC",Emergency Services,"DJI Inspire, DJI Phantom 2 or DJI Phantom 2 Vision",Colorado,"Search and rescue, Hazmat management (Chemical, Biological, Radiation & Nuclear), and emergency and disaster response."
5/20/2015,"Unmanned Aerial Services, LLC",Agriculture,senseFly eBee Ag,Iowa,"Photogrammetry and crop scouting in order to perform precision agriculture, which is a farming management concept based on observing, measuring, and responding to inter and intra field variability in crops."
4/29/2015,Unmanned Aerial Solutions,"Photo/Film, Education, Real Estate","DJI Phantom 2, DJI S1000",New Jersey,"Aerial flights for community awareness projects, Near Infrared spectrographic analysis, real estate operations, and small event photography"
5/5/2015,"Unmanned Experts, Inc.","Education, Photo/Film",Altavian Nova F6500,Colorado,Precision aerial surveys.
4/27/2015,"Unmanned Experts, Inc.","Education, Photo/Film",Aeryon Scout,Colorado,Aerial data collection.
4/23/2015,"Unmanned Experts, Inc.","Education, Photo/Film",Altavian Nova F6500,Colorado,Precision aerial surveying.
4/17/2015,"Unmanned Experts, Inc.",Photo/Film,Aeryon SkyRanger,Colorado,Precision aerial surveying.
5/8/2015,Unmanned Sensing Systems LLC,Agriculture, US2 GreenHawk,New Jersey,Precision aerial survey operations for the primary benefit of agricultural sensing and data gathering.
4/17/2015,Unmanned Sensing Systems LLC,Agriculture,US2 GreenHawk,New Jersey,"Precision aerial survey operations for the primary benefit of agricultural sensing and data gathering, aiding growers in planning and monitoring yields and providing a platform with which to develop techniques and applications to directly benefit the agricultural industry as a whole."
4/8/2015,Unmanned Systems Inc.,Photo/Film,"Multirotor G4 7.8 Skycrane, modified Flame Wheel F–450 quadcopter, Tarrot 900 hexacopter",Nevada,Motion picture and television operations.
4/3/2015,Upward Aerial,Photo/Film,T600 DJI Inspire 1,California,"Aerial photography and videography for closed-set motion picture, television and commercial videography."
6/18/2015,"US Drone Aviation, LLC",Utilities/Energy/Infrastructure,"DJI Phantom, DJI S1000, 3DRobotics X8+, 3DRobotics X-8M",Wyoming,"Services in rural or sparsely populated Wyoming, with particular focus on the following commercial areas: oil and gas infrastructure monitoring and inspection services, mining inspections, aerial surveying, industrial facilities inspections, conservation reviews, general video and photography assignments, inspection of power and wind towers."
5/4/2015,"USAerobotix, LLC",Utilities/Energy/Infrastructure,SelectTech Geopatial EH-4,Ohio,"Aerial photography and other sensors to inspect utility infrastructure and equipment, wind turbine blades and other structural aspects of wind farms, solar power panels, and vegetation and line clearance for tree trimming"
3/26/2015,"Utility Aerial Services, Inc.",Utilities/Energy/Infrastructure,Aerialtronics Zenith ATX8,Georgia,Utility-power generation inspections and patrols.
5/22/2015,V-Tail Aviation Inc.,Photo/Film,DJI Phantom 2,Texas,"Aerial photography, videography, cinematography, inspection, and training."
12/10/2014,VDOS Global,Utilities/Energy/Infrastructure,SkyRanger,Oregon,"Flare stack inspection, aerial inspection, training, and flight demonstration. (Amended 2/25/15 and 4/29/15)"
4/21/2015,"Ventus Wind, LLC",Utilities/Energy/Infrastructure,"DJI Phantom 2, DJI Phantom 2 Vision+, DJI Inspire 1, DJI Spreading Wings S-1000",Texas,Aerial inspections for power generation customers and to expand to support the growth of new customers in the onshore and offshore regions.
6/12/2015,"Vertical Approach Aerial Solutions, LLC",Photo/Film,DJI Inspire 1,Texas,"Aerial photography, video, and survey."
6/16/2015,Vertical Imagery LLC,"Utilities/Energy/Infrastructure, Emergency Services, Photo/Film",DJI T600,Oregon,"Aerial data collection and research, including power line and public utility inspections, wildland fire patrols, aerial surveys, electronic news gathering, and aid in search & rescue operations."
5/19/2015,"Vertical Information Services, Inc.",Photo/Film,DJI Phantom Vision 2,Florida,"Aerial photography, photogrammetry, and videography."
5/5/2015,"Vertical Sciences, Inc","Utilities/Energy/Infrastructure, Construction"," DJI S-1000+, DJI Phantom 2 Vision+",California,"Mapping, geotechnical, and survey applications."
5/11/2015,"Vertical Sciences, Inc.","Construction, Utilities/Energy/Infrastructure",SenseFly eBee,California,"Data acquisition for land surveying, civil engineering design, and geological safety analysis."
2/9/2015,Viafield,Agriculture,"SenseFly eBee, CropCopter Max Flight",Iowa,Precision agriculture. (Amended 6/3/15)
6/30/2015,Victor H. Rojas,Real Estate,"DJI Phantom 2 Vision+, DJI Phantom 3",Florida,Evaluation and inspection of properties and aerial photography and videography operations.
5/14/2015,Victory Improvement Professionals LLC,Construction,DJI Phantom 2,Indiana,Aerial imaging to perform site inspections.
4/3/2015,Videe This! Inc. dba Yeah Drones,Photo/Film,"DJI S900, DJI Phantom 2, DJI Inspire 1, DJI Phantom 3",New York,Closed-set filming and aerial photography. (Amended 6/23/15)
2/27/2015,Video Solutions LLC,Photo/Film,DJI Phantom 2 Vision+,California,Closed-set filming for the motion picture and television industry.
3/3/2015,"Viking Unmanned Aerial Systems, Inc.",Agriculture,Viking Ranger EX,Maine,Aerial photography and 3D mapping for the agriculture industry.
4/17/2015,"Vine Rangers, Inc.",Agriculture,"3D Robotics RTF X8, 3D Robotics Aero-M",California,"Leverage the latest UAS technologies and analytics infrastructure to help improve the quality, consistency and yield of specialty crops, particularly, wine grapes."
5/11/2015,"Vision Pictures, LLC",Photo/Film,DJI S1000,California,Aerial photography for the motion picture and television industry for scripted closed set filming.
3/24/2015,"Vision Services Group, LLC",Agriculture,"C-Astral: Bramor gEO, Volt Aerial Robotics: Octane, and Aeromao: AeroMapper 300, DJI S900",Georgia,"Collection of actionable data for use by agronomists, crop consultants, and forestry professionals. (Amended 6/3/15)"
4/16/2015,"Voler, Inc.",Construction,"3D Robotics X8, 3D Robotics Solo, DJI Phantom 3, DJI Phantom 2",Florida,Aerial imaging for safety and monitoring of controlled environment construction sites. (Amended 6/3/15)
6/5/2015,"Volo Pervidi, LLC",Utilities/Energy/Infrastructure,"SenseFly eBee, DJI Phantom 2 Vision+",Maryland,"Geospatial analysis for drainage studies, engineering grading analysis,and for resource management."
4/23/2015,Wade Bell,"Photo/Film, Agriculture",DJI Phantom 2 Vision+,Florida,"Aerial photography, cinematography, videography, mapping, crop surveying, inspections and other flight operations. The reason for such a general and broad based request is that the petitioner wishes to utilize a business strategy of horizontal integration and maximize economies of scope in order to capitalize on opportunities as they may arise in the future without the long turnaround time associated with additional exemptions."
6/17/2015,Waking Sky LLC,Photo/Film,DJI Phantom 2,Florida,"Aerial photography for motion picture, television, and commercial video industry."
6/30/2015,"Waypoint Global Strategies, Inc.",Government Contracting,"SenseFly eBee, C-Atral Bramor RTK, DJI Inspire 1",Florida,"Aerial surveying, inspection, patrolling, monitoring, and public entity support."
5/14/2015,Wesley W. Myers,Photo/Film,"DJI Phantom 2, DJI Phantom 2 Vision, DJI Phantom 2 Vision+",Florida,Low altitude aerial photography and videography.
5/4/2015,West Coast Aerials,Photo/Film,"Foxtech Kraken, DJI S-1000, DJI S900, DJI Flamewheel F550, DJI Phantom 2",California,Aerial data collection and closed set motion picture and filming.
3/24/2015,Wilbur-Ellis Company,Agriculture,HoneyComb AgDrone,California,Precision agriculture survey and inspection operations.
4/27/2015,"Wild Rabbit Productions, LLC",Photo/Film,Allied Drones Chaos X−8,California,Aerial photography for the motion picture and television industry for scripted closed set filming.
6/5/2015,William Clary,Photo/Film,"DJI S1000, Aeronavics Skyjib 8",California,Aerial video and photography for the motion picture and television industry along with inspections.
6/17/2015,William J Puckett,"Photo/Film, Emergency Services, Education",DJI Phantom 2 Vision+ DJI Inspire 1,Oklahoma,"Sourcing of geographic information system tagged aerial images, motion picture filming, inspections of structures, promotion of safe UAS operations, and search and rescue operations."
6/26/2015,William K Pedersen,"Construction, Real Estate","DJI Phantom 2, DJI S1000",North Carolina,"Aerial video and photography of construction sites, real estate, and landscape."
5/14/2015,Wilson Security Agency,"Scientific Studies, Government Contracting",DJI Phantom 2 Vision,North Carolina,"Aerial photographs and video in support of government entities, court ordered investigations, crime scene documentation, scientific studies, and private investigations."
6/5/2015,Witt Tech LLC,"Real Estate, Insurance",3D Robotics IRIS+,Kansas,"Remote sensing with a focus in mapping, real estate, insurance evaluations, and industrial inspection."
6/16/2015,"Wohnrade Civil Engineers, Inc.","Utilities/Energy/Infrastructure, Construction, Government Contracting",DJI Inspire 1,Colorado,"Site reconnaissance for public and private civil construction projects, including bridge inspections and aerial photography and videography."
12/10/2014,Woolpert (I),"Manufacturer, Agriculture",Woolpert Altavian Nova Block III (Nova Block III),Ohio,Precision aerial surveying. (Amended 4/30/15)
12/10/2014,Woolpert (II),"Manufacturer, Agriculture",Woolpert Altavian Nova Block III (Nova Block III),Ohio,Precision aerial surveying.
4/16/2015,"Woolpert, Inc.","Government Contracting, Agriculture, Scientific Studies, Conservation, Utilities/Energy/Infrastructure",Skycatch,Ohio,"Aerial data collection over certain rural areas of the United States in support of government entities, agriculture, scientific studies, wildlife monitoring, forestry operations, and the oil and gas industries."
6/29/2015,X12 Production Services LLP,Photo/Film,X12 140611,Texas,"Aerial photography for the motion picture and television industry for scripted, closed-set filming."
4/21/2015,"Xcam Aerials, Inc.",Photo/Film,"ACS XX8L, Ronin Octo – MaryKate, Ronin Octo – Ashley, X8, DJI Spreading Wings S800, DJI Inspire 1, DJI Phantom 2, DJI S–1000",Florida,Aerial photography for the motion picture and television industry for scripted closed set filming.
5/11/2015,"Xcel Energy, Inc",Utilities/Energy/Infrastructure, DJI Spreading Wings S1000+,Minnesota,Inspections of energy infrastructure.
6/29/2015,Xizmo Media Productions LLC,Photo/Film,DJI Spreading Wings S800,New York,Aerial videography and cinematography.
5/1/2015,"Yamaha Motor Corporation, USA",Agriculture,Yamaha RMAX UAS,District of Columbia,"Agricultural spraying services, including watering, fertilizers, pesticides, and herbicides. The RMAX can also be equipped with sensors and equipment to detect and monitor agricultural areas that require irrigation, fertilization, or other treatments."
6/23/2015,"Yonkers Contracting Co., Inc","Government Contracting, Construction",Walkera - TALI H500,New York,Aerial imaging as required under awarded contracts by agencies such as the New York State Department of Environmental Protection (NYSDEP) as well as for safety and monitoring of secured construction sites.
5/11/2015,Zero Gravity Productions,Photo/Film,DJI Phantom 2,California,Aerial photography and videography.
5/21/2015,"ZoZo Group, LLC",Utilities/Energy/Infrastructure,DJI Phantom FC40 P330,Colorado,Aerial imagery documentation of highway construction projects.
5/11/2015,ZuWerks Inc.,Photo/Film,"DJI Phantom 2, DJI S800 EVO, DJI Inspire 1",California,"Cooling tower inspections, forestry, critical infrastructure inspections, wind turbine inspections, safety and security monitoring, radiation measurement, surveying, and mapping"
